Country or Area;Subgroup;Year;Source;Unit;Value;Value Footnotes
Bangladesh;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.3;
Bangladesh;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.8;4
Bangladesh;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.6;4
Belarus;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;113.4;
Belarus;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;113.6;
Belarus;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;113.7;
Belarus;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;114.4;2
Belarus;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;114.3;
Belarus;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;116.6;
Belarus;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;116.8;
Belarus;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;117.0;
Belarus;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;117.3;
Belarus;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;117.1;
Belarus;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;112.8;
Belarus;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;112.8;
Belarus;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;117.7;2
Belize;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;93.4;4
Belize;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;93.7;4
Belize;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;93.8;4
Belize;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.1;4
Belize;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.2;
Belize;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.2;4
Belize;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.1;4
Belize;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;92.8;4
Belize;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;92.8;4
Belize;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;91.6;4
Belize;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.2;4
Belize;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.0;4
Belize;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;91.9;4
Belize;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;91.4;4
Belize;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;91.8;
Belize;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;92.3;4
Belize;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;91.3;4
Benin;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.6;2
Benin;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.0;4
Benin;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.3;4
Benin;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.5;4
Benin;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.7;4
Benin;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.7;4
Benin;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.1;
Bolivia;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;91.9;
Bolivia;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.8;7
Bosnia and Herzegovina;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.7;2
Botswana;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.9;4
Botswana;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.2;
Botswana;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;114.5;4
Botswana;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;114.9;4
Brazil;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;90.8;8
Brazil;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;91.8;2
Brazil;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;92.3;2
Brunei;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;92.4;9
Brunei;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;85.2;
Bulgaria;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.6;
Bulgaria;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.7;
Bulgaria;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.7;
Bulgaria;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;102.6;
Bulgaria;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.7;
Bulgaria;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.7;
Bulgaria;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.6;
Bulgaria;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.3;
Bulgaria;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.2;
Bulgaria;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.0;
Bulgaria;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.9;
Bulgaria;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.4;
Bulgaria;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.3;
Bulgaria;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.1;
Bulgaria;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.7;
Bulgaria;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.4;
Bulgaria;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.0;
Bulgaria;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;101.1;
Bulgaria;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.3;
Burkina Faso;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;118.7;10
Burkina Faso;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.3;10
Burkina Faso;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;109.5;2
Burundi;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.4;4
Burundi;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.6;4
Burundi;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.8;4
Burundi;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.9;4
Burundi;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.1;4
Burundi;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;107.1;2
Cambodia;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.1;11
Cambodia;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;108.1;12
Cambodia;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;109.1;13
Cambodia;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;115.5;14
Canada;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;96.0;2
Canada;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;95.4;15
Canada;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.8;2
Canada;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.1;2
Cape Verde;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.6;
Cape Verde;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.6;
Cape Verde;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.6;
Cape Verde;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;108.6;
Cape Verde;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;113.0;
Central African Republic;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;101.6;
Central African Republic;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;104.5;
Chile;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.6;
Chile;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.5;
Chile;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;87.4;
Chile;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.5;
Chile;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.4;
Chile;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.3;
Chile;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.2;
Chile;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.1;
Chile;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.0;
Chile;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.9;
Chile;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.8;
Chile;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.5;
Chile;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.1;
Chile;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;85.8;
Chile;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.8;
Chile;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.4;
Chile;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.1;
China;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;93.5;16
Colombia;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;88.7;
Colombia;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;88.1;
Comoros;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;103.4;17
Cook Islands;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;91.6;
Costa Rica;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.7;2
Costa Rica;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.2;2
Costa Rica;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.9;2
Costa Rica;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.3;2
Costa Rica;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;93.6;2
Costa Rica;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.4;2
Costa Rica;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.1;2
Costa Rica;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.1;2
Costa Rica;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.8;2
Costa Rica;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.5;2
Costa Rica;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.5;2
Costa Rica;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.5;2
Costa Rica;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.1;2
Costa Rica;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.8;2
Costa Rica;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.1;2
Costa Rica;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.0;2
Costa Rica;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.2;2
Costa Rica;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.3;2
Costa Rica;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.1;2
Costa Rica;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.7;2
Costa Rica;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.9;2
Côte d’Ivoire;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.1;4
Côte d’Ivoire;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.1;
Côte d’Ivoire;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.1;4
Croatia;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;104.0;2
Croatia;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;103.6;
Croatia;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;103.6;2
Croatia;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;103.6;2
Croatia;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;103.7;2
Cuba;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;89.2;
Cuba;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;89.1;
Cuba;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;89.0;
Cuba;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;89.0;
Cuba;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;88.7;
Cuba;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;88.3;
Cyprus;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.4;2
Cyprus;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.1;2
Czech Republic;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.9;2
Czech Republic;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.0;2
Czech Republic;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.3;2
Czech Republic;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;101.3;2
Czech Republic;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.3;2
Czech Republic;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.6;2
Czech Republic;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;103.3;2
Dominican Republic;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;92.7;2
Ecuador;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.3;18
Ecuador;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.1;18
Ecuador;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.0;18
Ecuador;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.5;19
Ecuador;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.8;18
Ecuador;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.7;18
Ecuador;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.5;18
Ecuador;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.4;18
Ecuador;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.3;18
Ecuador;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;95.6;19
Egypt;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.0;4
Egypt;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.4;4
Egypt;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.5;4
Egypt;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.5;4
Egypt;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;95.6;
Egypt;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.4;4
Egypt;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.4;4
Egypt;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.1;4
Egypt;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.2;4
Egypt;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.3;4
Egypt;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.5;4
Egypt;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;95.9;
El Salvador;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.3;
El Salvador;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.4;
El Salvador;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.6;
El Salvador;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.7;
El Salvador;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.8;
El Salvador;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.0;
El Salvador;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.2;
El Salvador;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.4;
El Salvador;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.5;
El Salvador;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.7;
El Salvador;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.4;
El Salvador;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.7;
El Salvador;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.6;
El Salvador;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.5;
